abbreviation,name,circuit,citation_abbreviation,state,cardinal,courtname,homepage,start_date,end_date,count,jurisdiction
southcarolinaed,"District Court, E.D. South Carolina",,E.D.S.C.,South Carolina,Eastern,eastern-south-carolina,http://www.scd.uscou…,1823-02-21,10/7/1965,181.0,Federal District
southcarolinawd,"District Court, W.D. South Carolina",,W.D.S.C.,South Carolina,Western,western-south-carolina,http://www.ncwd.usco…,1823-02-21,10/7/1965,95.0,Federal District
scd,"District Court, D. South Carolina",Fourth,D.S.C.,South Carolina,,south-carolina,https://www.scd.uscourts.gov/,,,,Federal District
sdd,"District Court, D. South Dakota",Eighth,D.S.D.,South Dakota,,south-dakota,http://www.sdd.uscou…,Unknown,Unknown,867.0,Federal District
tned,"District Court, E.D. Tennessee",Sixth,E.D. Tenn.,Tennessee,Eastern,eastern-tennessee,http://www.tned.usco…,Unknown,Unknown,1363.0,Federal District
tnmd,"District Court, M.D. Tennessee",Sixth,M.D. Tenn.,Tennessee,Middle,middle-tennessee,http://www.tnmd.usco…,Unknown,Unknown,1147.0,Federal District
tnwd,"District Court, W.D. Tennessee",Sixth,W.D. Tenn.,Tennessee,Western,western-tennessee,http://www.tnwd.usco…,Unknown,Unknown,892.0,Federal District
txed,"District Court, E.D. Texas",Fifth,E.D. Tex.,Texas,Eastern,eastern-texas,http://www.txed.usco…,Unknown,Unknown,1591.0,Federal District
txnd,"District Court, N.D. Texas",Fifth,N.D. Tex.,Texas,Northern,northern-texas,http://www.txnd.usco…,Unknown,Unknown,2412.0,Federal District
txsd,"District Court, S.D. Texas",Fifth,S.D. Tex.,Texas,Southern,southern-texas,http://www.txs.uscou…,Unknown,Unknown,3497.0,Federal District
txwd,"District Court, W.D. Texas",Fifth,W.D. Tex.,Texas,Western,western-texas,http://www.txwd.usco…,Unknown,Unknown,1283.0,Federal District
utd,"District Court, D. Utah",Tenth,D. Utah,Utah,,utah,http://www.utd.uscou…,Unknown,Unknown,1237.0,Federal District
vtd,"District Court, D. Vermont",Second,D. Vt.,Vermont,,vermont,http://www.vtd.uscou…,Unknown,Unknown,668.0,Federal District
vaed,"District Court, E.D. Virginia",Fourth,E.D. Va.,Virginia,Eastern,eastern-virginia,http://www.vaed.usco…,Unknown,Unknown,4530.0,Federal District
vawd,"District Court, W.D. Virginia",Fourth,W.D. Va.,Virginia,Western,western-virginia,http://www.vawd.usco…,Unknown,Unknown,2018.0,Federal District
waed,"District Court, E.D. Washington",Ninth,E.D. Wash.,Washington,Eastern,eastern-washington,http://www.waed.usco…,3/2/05,Unknown,437.0,Federal District
wawd,"District Court, W.D. Washington",Ninth,W.D. Wash.,Washington,Western,western-washington,http://www.wawd.usco…,3/2/05,Unknown,1146.0,Federal District
wvnd,"District Court, N.D. West Virginia",Fourth,N.D.W. Va.,West Virginia,Northern,northern-west-virginia,http://www.wvnd.usco…,Unknown,Unknown,466.0,Federal District
wvsd,"District Court, S.D. West Virginia",Fourth,S.D.W. Va,West Virginia,Southern,southern-west-virginia,http://www.wvsd.usco…,Unknown,Unknown,1238.0,Federal District
wied,"District Court, E.D. Wisconsin",Seventh,E.D. Wis.,Wisconsin,Eastern,eastern-wisconsin,http://www.wied.usco…,Unknown,Unknown,2740.0,Federal District
wiwd,"District Court, W.D. Wisconsin",Seventh,W.D. Wis.,Wisconsin,Western,western-wisconsin,http://www.wiwd.usco…,Unknown,Unknown,1181.0,Federal District
wyd,"District Court, D. Wyoming",Tenth,D. Wyo.,Wyoming,,wyoming,http://www.wyd.uscou…,Unknown,Unknown,481.0,Federal District
gud,"District Court, D. Guam",Ninth,D. Guam,Guam,,guam,http://www.gud.uscou…,Unknown,Unknown,38.0,Federal District
nmid,"District Court, Northern Mariana Islands",Ninth,N. Mar. I.,Northern Mariana Islands,,northern-mariana-islands,http://www.nmid.usco…,Unknown,Unknown,16.0,Federal District
prd,"District Court, D. Puerto Rico",First,D.P.R.,Puerto Rico,,puerto-rico,http://www.prd.uscou…,Unknown,Unknown,4054.0,Federal District
vid,"District Court, Virgin Islands",Third,D.V.I.,Virgin Islands,,virgin-islands,http://www.vid.uscou…,Unknown,Unknown,656.0,Federal District
